primary_accession	country	geo_loc	collection_year	host 	pubmed	comment
DQ275596	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275585	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275595	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275594	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275593	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275592	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275591	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275590	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275589	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275588	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275587	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275586	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275584	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275576	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275574	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275573	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275572	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275571	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275570	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275569	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275568	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275567	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275566	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275565	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275564	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275563	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KM067274	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957452	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957451	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957450	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957449	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957445	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957444	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957443	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957442	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957441	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957440	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957438	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957437	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854576	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854573	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854567	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854558	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854546	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854544	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854531	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854525	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854505	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854570	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854568	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854555	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854543	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854539	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854538	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854535	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854533	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854518	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854513	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854509	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854508	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854502	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
EU086198	Nepal	-	1998	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881360	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881359	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881358	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881357	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881356	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881355	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881354	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP881353	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860234	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860233	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860232	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860231	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860230	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860229	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860228	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860227	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860226	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860225	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860224	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860223	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860222	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860221	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860220	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860219	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860218	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860217	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860216	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860215	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860214	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860213	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860212	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860211	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860210	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860209	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860208	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860207	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860206	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860205	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860204	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860203	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860202	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860201	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860200	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860199	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860198	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860197	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860196	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860195	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860194	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860193	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860192	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860191	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860190	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860189	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860188	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860187	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860186	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860185	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860184	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860183	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860182	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860181	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860180	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860179	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860178	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860177	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860176	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860175	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860174	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860173	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860172	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860171	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860170	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860169	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860168	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860167	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860166	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860165	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860164	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860163	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860162	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860161	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860160	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860159	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860158	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860157	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860156	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860155	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860154	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860153	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860152	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860151	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860150	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860149	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860148	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860147	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860146	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860145	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860144	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860143	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KP860142	Taiwan	-	-	Melogale moschata subaurantiaca	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
