primary_accession	country	geo_loc	collection_year	host 	comment
KX434481	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX434480	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX434479	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX434478	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX148245	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PQ149141	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882952	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882961	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882960	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882959	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882958	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882957	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882956	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882955	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882954	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU882953	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KT803607	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KM979374	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KM979366	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KT381834	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KT381829	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KT381827	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KT381826	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KT381825	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KT381824	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF150716	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF150710	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF864240	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF864239	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF660246	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF660245	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF660244	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF660243	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JX987737	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JX987721	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF005062	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF005061	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF005045	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF005044	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KC887344	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP844624	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
EF643518	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
EF611081	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP805699	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP805698	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
